"code","run_count","mn_dstn","imd","d_income","d_employment","d_education","d_health","d_crime","d_housing","d_enviroment","total_pop","perc_non_working_age","pop_density","perc_bme"
"E01013572",19,4.659,25.864,0.148,0.136,31.754,0.622,-0.644,24.089,21.152,1916,0.498434237995825,6606.9,0.357888631090487
"E01013573",11,4.798,44.759,0.292,0.185,56.435,1.459,0.186,24.996,14.11,2199,0.404274670304684,6108.33,0.369030390738061
"E01013574",81,4.699,5.194,0.017,0.038,6.332,-0.545,-1.457,26.002,4.075,1289,0.417377812257564,2802.17,0.0450184501845018
"E01013575",65,4.2,9.141,0.047,0.047,15.567,-0.155,-1.288,24.878,10.713,1383,0.379609544468547,5319.23,0.0662393162393162
"E01013576",69,5.91,4.563,0.043,0.032,6.03,-0.356,-1.257,17.098,3.7,1470,0.372108843537415,5250,0.0688259109311741
"E01013577",89,5.681,4.397,0.027,0.039,4.377,0.001,-1.697,13.274,2.675,1513,0.360872438863186,3879.49,0.0555906506632975
"E01013578",124,6.271,3.914,0.04,0.02,2.886,-0.429,-1.842,20.568,3.551,1437,0.340292275574113,5132.14,0.0657989877078814
"E01013579",132,5.009,6.083,0.044,0.034,7.76,-0.084,-0.098,10.588,4.138,1426,0.387096774193548,3168.89,0.0721153846153846
"E01013580",103,5.477,8.51,0.054,0.051,7.432,0.257,-1.11,15.668,10.265,1395,0.372759856630824,5365.38,0.0461016949152543
"E01013581",26,4.533,34.423,0.202,0.156,54.317,0.984,0.047,23.794,10.585,1517,0.414634146341463,6595.65,0.0629820051413882
"E01013582",36,4.968,21.152,0.128,0.088,44.423,0.245,-0.118,13.371,18.707,1563,0.450415866922585,6252,0.0415335463258786
"E01013583",0,5.687,50.733,0.317,0.186,86.154,1.094,0.143,21.993,34.398,1758,0.437997724687144,2313.16,0.205051112447384
"E01013584",39,5.574,51.212,0.339,0.193,83.047,0.985,0.068,27.303,23.041,1954,0.415046059365404,1050.54,0.264171122994652
"E01013585",10,5.781,41.436,0.277,0.193,56.385,0.897,0.49,22.082,10.84,1777,0.386606640405177,2613.24,0.355225585379783
"E01013586",7,6.147,47.491,0.292,0.22,61.911,1.407,0.343,25.219,4.198,1638,0.421855921855922,7800,0.260309278350515
"E01013587",10,6.099,18.737,0.108,0.103,22.902,0.109,-0.251,24.14,14.044,1596,0.450501253132832,7600,0.409685863874346
"E01013588",8,6.266,39.275,0.233,0.184,38.812,0.94,1.181,22.296,15.781,1473,0.440597420230821,688.32,0.290469973890339
"E01013589",38,7.069,17.359,0.108,0.102,18.634,0.591,-1.338,19.673,5.309,1338,0.445440956651719,4460,0.335910049191848
"E01013590",86,4.945,55.042,0.356,0.221,75.428,1.34,0.524,23.206,19.496,2124,0.413841807909605,4617.39,0.267756482525366
"E01013591",112,5.057,57.109,0.371,0.195,69.695,1.563,0.145,20.558,50.046,2172,0.401012891344383,8688,0.243734643734644
"E01013592",141,7.341,7.284,0.055,0.044,9.14,-0.158,-0.682,4.552,17.872,1474,0.457259158751696,4754.84,0.0214132762312634
"E01013593",86,7.733,9.788,0.051,0.053,18.735,0.063,-1.24,18.194,10.867,1369,0.47918188458729,4026.47,0.0195936139332366
"E01013594",82,7.25,8.733,0.063,0.072,5.874,0.027,-0.936,9.864,7.017,1283,0.534684333593141,2103.28,0.0133037694013304
"E01013595",146,6.962,21.057,0.135,0.082,31.343,0.625,-0.527,20.714,18.558,2465,0.408924949290061,550.22,0.0754310344827587
"E01013596",33,6.787,6.43,0.041,0.055,4.957,-0.118,-0.786,6.255,12.963,1526,0.523591087811271,1714.61,0.0218088518280949
"E01013597",92,7.4,40.241,0.225,0.176,61.426,1.188,-0.25,26.858,21.901,1483,0.486850977747808,4361.76,0.0396935933147632
"E01013598",68,7.65,34.837,0.18,0.148,42.118,1.328,-0.12,28.408,24.601,1564,0.421994884910486,2696.55,0.0473411154345007
"E01013599",70,7.79,4.731,0.038,0.032,5.388,-0.189,-1.873,16.95,6.686,1410,0.505673758865248,3357.14,0.0273775216138329
"E01013600",11,5.251,51.66,0.326,0.197,75.179,1.3,0.845,15.72,24.518,2001,0.440279860069965,3775.47,0.189484643414888
"E01013601",5,4.807,46.809,0.283,0.158,65.426,1.151,1.596,12.644,25.053,1670,0.417964071856287,5060.61,0.172209026128266
"E01013602",24,4.882,47.497,0.301,0.185,55.034,1.049,1.611,14.473,23.781,1911,0.406070120355835,2123.33,0.226435536294691
"E01013603",34,4.22,62.485,0.359,0.251,64.023,1.692,1.456,30.841,16.538,1836,0.422113289760349,3991.3,0.330621731551424
"E01013604",1,4.265,43.337,0.248,0.174,62.157,1.303,0.862,14.008,25.793,1901,0.439768542872172,6132.26,0.194227300060132
"E01013605",18,3.795,31.373,0.181,0.124,37.839,0.692,0.928,17.405,30.147,1890,0.397354497354497,3500,0.403607666290868
"E01013606",50,3.926,16.122,0.108,0.078,24.935,-0.089,0.125,9.266,19.725,1743,0.465289730349971,5446.88,0.419724770642202
"E01013607",110,3.209,22.482,0.114,0.071,13.329,-0.044,1.453,25.579,30.192,3181,0.300848789688777,1719.46,0.550719005052468
"E01013608",13,3.15,20.456,0.088,0.072,28.875,0.136,1.028,7.025,33.039,1497,0.430861723446894,4536.36,0.123464770523594
"E01013609",119,3.176,16.647,0.097,0.081,15.597,0.014,0.685,11.214,20.414,1520,0.453289473684211,1333.33,0.0793650793650794
"E01013610",117,3.378,36.302,0.224,0.178,31.422,0.922,1.012,11.87,25.425,1707,0.448154657293497,5020.59,0.112419070041201
"E01013611",88,3.805,34.751,0.167,0.155,36.673,1.025,0.95,29.75,14.926,1569,0.469088591459528,2852.73,0.160657811511701
"E01013612",97,2.621,18.684,0.101,0.079,14.79,0.266,1.009,4.583,23.513,1747,0.420148826559817,1838.95,0.101815823605707
"E01013613",97,2.063,30.241,0.181,0.109,33.657,0.738,0.787,11.537,39.674,1824,0.351425438596491,7296,0.130012150668287
"E01013614",45,2.551,27.732,0.165,0.118,27.153,0.884,0.626,8.466,30.401,1593,0.393596986817326,6372,0.125560538116592
"E01013615",18,6.008,12.917,0.07,0.056,11.459,0.21,0.737,13.051,9.256,1520,0.340131578947368,518.77,0.31913499344692
"E01013616",22,5.421,20.187,0.152,0.089,31.525,0.642,-0.587,11.644,8.03,1635,0.382262996941896,1993.9,0.24170319348779
"E01013617",81,3.943,23.374,0.144,0.113,24.105,0.379,0.099,29.621,10.608,2597,0.344243357720447,1442.78,0.475667189952904
"E01013618",3,5.083,27.035,0.179,0.148,24.051,0.542,0.565,17.051,12.123,1575,0.383492063492063,3028.85,0.306265984654731
"E01013619",2,4.557,52.44,0.367,0.231,51.531,1.139,0.958,24.781,11.546,1720,0.409302325581395,2422.54,0.419151376146789
"E01013620",11,4.377,58.397,0.377,0.258,55.405,1.564,0.945,27.636,9.023,1879,0.435337945715806,6479.31,0.36037527593819
"E01013621",0,3.976,53.755,0.362,0.24,51.938,1.361,1.037,23.09,8.167,1986,0.401812688821752,4137.5,0.414066631411951
"E01013622",0,3.883,53.974,0.36,0.247,48.714,1.28,1.217,19.843,13.069,1581,0.411764705882353,8321.05,0.446483180428135
"E01013623",15,3.501,20.829,0.118,0.09,18.177,0.041,1.089,21.039,13.996,2144,0.409981343283582,1848.28,0.500693481276006
"E01013624",0,3.405,35.507,0.247,0.153,48.894,0.551,0.482,18.198,27.399,1494,0.412985274431058,5976,0.637295081967213
"E01013625",47,3.475,29.768,0.217,0.141,39.535,0.497,0.059,17.128,21.37,2088,0.386973180076628,13050,0.887875536480687
"E01013626",0,3.379,29.509,0.249,0.115,43.681,0.257,-0.071,13.914,27.661,1881,0.373737373737374,20900,0.90188679245283
"E01013627",12,3.263,16.434,0.11,0.074,26.636,-0.315,0.084,9.864,27.291,1340,0.379850746268657,8933.33,0.914681014604151
"E01013628",93,3.775,42.833,0.304,0.203,38.49,1.209,0.431,18.76,19.252,1579,0.425585813806206,5093.55,0.698174706649283
"E01013629",4,3.832,25.901,0.194,0.111,34.502,0.327,0.473,14.022,18.256,1729,0.379988432620012,6650,0.885131195335277
"E01013630",0,3.609,24.443,0.188,0.093,38.208,-0.029,0.04,14.868,32.379,1950,0.370769230769231,19500,0.898630136986301
